track_name,artist,track_pop,artist_pop,duration,danceability,energy,acousticness,instrumentalness,liveness,valence,link
Sweet Child O' Mine,Guns N' Roses,84,82,5.908666666666667,0.454,0.91,0.0866,0.0996,0.116,0.629,open.spotify.com/track/7o2CTH4ctstm8TNelqjb51
Welcome To The Jungle,Guns N' Roses,80,82,4.533766666666667,0.447,0.954,0.0235,0.403,0.298,0.331,open.spotify.com/track/0bVtevEgtDIeRjCJbK3Lmv
Paradise City,Guns N' Roses,81,82,6.760666666666666,0.273,0.952,0.0169,0.0111,0.142,0.472,open.spotify.com/track/3YBZIN3rekqsKxbJc9FZko
November Rain,Guns N' Roses,0,82,8.958433333333334,0.197,0.629,0.0165,0.279,0.125,0.221,open.spotify.com/track/53968oKecrFxkErocab2Al
Knockin' On Heaven's Door,Guns N' Roses,0,82,5.6,0.486,0.747,0.0203,0.00607,0.0992,0.368,open.spotify.com/track/7gXdAqJLCa5aYUeLVxosOz
Better,Guns N' Roses,0,82,4.953766666666667,0.563,0.784,0.1,0.00219,0.895,0.387,open.spotify.com/track/1Mi1hniaDg5dRRn9ZeyJDu
This I Love,Guns N' Roses,0,82,5.572883333333333,0.263,0.442,0.603,2.99e-06,0.106,0.133,open.spotify.com/track/5RPF5mwdSL7akIauzRlt3Y
Since I Don't Have You,Guns N' Roses,0,82,4.331766666666667,0.466,0.632,0.465,0.000256,0.135,0.246,open.spotify.com/track/2v8AKrfgbNDhFThyaTFDeu
Attitude,Guns N' Roses,0,82,1.45,0.34,0.984,0.000249,0.0,0.331,0.613,open.spotify.com/track/2iHQl54hUocY1JSdtISccd
Ain't It Fun,Guns N' Roses,0,82,5.096666666666667,0.325,0.953,0.000105,0.25,0.254,0.397,open.spotify.com/track/0WZl1h9J8bOtWF97b9WwPL
Live And Let Die,Guns N' Roses,0,82,3.0662166666666666,0.262,0.793,0.00968,0.08,0.115,0.247,open.spotify.com/track/04MNKrAnzrHDUzuXAtNoLr
Don't Cry (Original),Guns N' Roses,0,82,4.746666666666667,0.437,0.572,0.00191,0.00243,0.116,0.239,open.spotify.com/track/0ZEhlT9v8CdOKu55zhYGv9
Coma,Guns N' Roses,0,82,10.274433333333333,0.451,0.913,0.0217,0.187,0.132,0.263,open.spotify.com/track/34Lo0oc0QDJ1wlepfnWHQI
Civil War,Guns N' Roses,0,82,7.70155,0.334,0.786,0.0832,0.0744,0.322,0.379,open.spotify.com/track/4LM3MtaBdn0bTZW1GqzRVd
Yesterdays,Guns N' Roses,0,82,3.2704333333333335,0.367,0.85,0.0642,0.0082,0.292,0.464,open.spotify.com/track/2JCWnsNbKGJpF0337l3Mrt
Estranged,Guns N' Roses,0,82,9.398216666666666,0.366,0.766,0.0109,0.46,0.355,0.175,open.spotify.com/track/00hY9G7oTlWd86U3FYzwoH
You Could Be Mine,Guns N' Roses,0,82,5.727333333333333,0.346,0.984,0.00842,0.377,0.338,0.302,open.spotify.com/track/1BDKqhEFRW5d9Y5CVXNUL1
Patience,Guns N' Roses,67,82,5.906666666666666,0.457,0.266,0.711,0.000261,0.124,0.372,open.spotify.com/track/7D5n2kpYH2WSqIyEO9MeXf
Used To Love Her,Guns N' Roses,48,82,3.1926666666666668,0.615,0.823,0.436,7.04e-05,0.171,0.921,open.spotify.com/track/267BsRG0aX8LfeHsvCOdFA
Mr. Brownstone,Guns N' Roses,59,82,3.7617666666666665,0.496,0.94,0.0255,1.76e-06,0.305,0.575,open.spotify.com/track/4DnEyHNO8MdhFYFrDq73BV
My Michelle,Guns N' Roses,56,82,3.644433333333333,0.453,0.935,0.167,0.03,0.513,0.308,open.spotify.com/track/2dyfo7lqKI7NtSAhUZwnoJ
Rock or Bust,AC/DC,64,84,3.050883333333333,0.572,0.825,7.13e-05,0.000134,0.134,0.56,open.spotify.com/track/2vyae4DvSU2gs8OMOGwXF2
Play Ball,AC/DC,53,84,2.78555,0.52,0.872,6.71e-06,0.246,0.207,0.449,open.spotify.com/track/3fpzBeEHvuXKOl7QeVe1iz
Rock the Blues Away,AC/DC,52,84,3.4062166666666664,0.537,0.88,0.000131,0.00531,0.135,0.37,open.spotify.com/track/5xGHeN58fFOcORW0pRZznn
Nightrain,Guns N' Roses,64,82,4.436216666666667,0.4,0.992,0.107,0.0117,0.179,0.243,open.spotify.com/track/2vNw57KPaYDzkyPxXYUORX
Rock N Roll Train,AC/DC,73,84,4.358433333333333,0.547,0.931,0.000998,0.0118,0.278,0.697,open.spotify.com/track/4feXJ5IC3avXsVW9WNFSag
Skies on Fire,AC/DC,47,84,3.56955,0.554,0.657,0.000411,0.00757,0.182,0.583,open.spotify.com/track/4K3ReloaWQZmMz6jrLQ34V
Big Jack,AC/DC,49,84,3.9511,0.535,0.891,0.000159,0.0054,0.0992,0.436,open.spotify.com/track/6vgEMqEmhSkv2G23nl1VTu
Anything Goes,AC/DC,48,84,3.3693333333333335,0.605,0.9,0.000522,0.0271,0.0466,0.467,open.spotify.com/track/4OrKIUhgiIiOefxwmrVedV
War Machine,AC/DC,63,84,3.1631,0.518,0.718,4.85e-05,0.244,0.25,0.531,open.spotify.com/track/5YnNWHKCJaJKwbagXDb5Uf
She Likes Rock N Roll,AC/DC,44,84,3.882433333333333,0.596,0.651,0.00157,4.43e-06,0.0762,0.587,open.spotify.com/track/6QitPoNJ9DPtBAA5N6LWYA
Black Ice,AC/DC,56,84,3.418433333333333,0.501,0.889,0.000323,0.00164,0.186,0.442,open.spotify.com/track/3Axmw41lmMoXih3NJYzbXb
Hard as a Rock,AC/DC,64,84,4.516666666666667,0.481,0.724,0.0018,0.177,0.11,0.2,open.spotify.com/track/1gij27s31tFKcTHa8f1u4g
Back In Black,AC/DC,87,84,4.258216666666667,0.31,0.7,0.011,0.00965,0.0828,0.763,open.spotify.com/track/08mG3Y1vljYA6bvDt4Wqkj
Highway to Hell,AC/DC,87,84,3.473333333333333,0.574,0.913,0.061,0.00158,0.156,0.423,open.spotify.com/track/2zYzyRzz6pRmhPzyfMEC8s
Thunderstruck,AC/DC,86,84,4.881333333333333,0.502,0.89,0.000147,0.0117,0.217,0.259,open.spotify.com/track/57bgtoPSgt236HzfBOd8kj
T.N.T.,AC/DC,81,84,3.5777666666666668,0.754,0.759,0.153,0.000108,0.101,0.435,open.spotify.com/track/7LRMbd3LEoV5wZJvXT1Lwb
You Shook Me All Night Long,AC/DC,83,84,3.502883333333333,0.532,0.767,0.00287,0.000513,0.39,0.755,open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo
Jailbreak,AC/DC,64,84,4.682666666666667,0.572,0.835,0.00953,0.0144,0.012,0.591,open.spotify.com/track/5UKeFkVeUfvP6S43I8s9mt
Shoot to Thrill,AC/DC,61,84,5.296666666666667,0.453,0.897,0.000358,0.0956,0.365,0.492,open.spotify.com/track/6GzCkTddOn1vSln1gbSr8y
Let There Be Rock,AC/DC,42,84,6.1071,0.32,0.719,0.000218,0.57,0.0597,0.402,open.spotify.com/track/7pZYTjl0SQhdsi5qsWS8Q0
It's a Long Way to the Top (If You Wanna Rock 'N' Roll) - Original Australian Release,AC/DC,41,84,5.2091,0.43,0.881,0.212,0.00348,0.045,0.489,open.spotify.com/track/4jD93WpDpa7BjRlfG46hxl
Dirty Deeds Done Dirt Cheap,AC/DC,77,84,3.86555,0.668,0.906,0.214,0.00245,0.135,0.507,open.spotify.com/track/2d4e45fmUnguxh6yqC7gNT
Rock and Roll Ain't Noise Pollution,AC/DC,66,84,4.434,0.576,0.659,0.041,0.0,0.0587,0.717,open.spotify.com/track/6J17MkMmuzBiIOjRH6MOBZ
High Voltage,AC/DC,63,84,4.236666666666666,0.561,0.785,0.0282,0.451,0.0615,0.546,open.spotify.com/track/5pLgH1bCkBV3bbmvm0qvom
For Those About to Rock (We Salute You),AC/DC,68,84,5.737333333333333,0.37,0.919,0.000376,0.419,0.49,0.471,open.spotify.com/track/17lu4tymfnhmcIDlzBbtAb
Hells Bells,AC/DC,76,84,5.204883333333333,0.389,0.873,0.00532,0.0055,0.273,0.303,open.spotify.com/track/69QHm3pustz01CJRwdo20z
Love Me Do - Mono / Remastered,The Beatles,0,88,2.3362166666666666,0.524,0.88,0.404,0.000191,0.154,0.758,open.spotify.com/track/5JT7CoUSGNk7mMNkHMQjqr
From Me To You - Mono / Remastered,The Beatles,0,88,1.936,0.581,0.821,0.507,0.0,0.108,0.968,open.spotify.com/track/2Q2Gu7Bv8iLenuygtBgDUw
She Loves You - Mono / Remastered,The Beatles,0,88,2.3486666666666665,0.377,0.916,0.26,0.0,0.074,0.912,open.spotify.com/track/2Fk411Ix3qnMG8t8Qa74ZX
I Want To Hold Your Hand - Remastered 2015,The Beatles,0,88,2.4291,0.49,0.715,0.386,0.0,0.311,0.866,open.spotify.com/track/4DRBaZ760gyk7LWnaJFqsJ
Can't Buy Me Love - Remastered 2015,The Beatles,0,88,2.1868833333333333,0.426,0.76,0.118,0.0,0.325,0.955,open.spotify.com/track/7pQAq14Z73YUFMtxCyt0bG
A Hard Day's Night - Remastered 2015,The Beatles,0,88,2.5486666666666666,0.546,0.818,0.0487,0.0,0.0983,0.756,open.spotify.com/track/0mNQUZEATk2uItMUtiLWK5
I Feel Fine - Remastered 2015,The Beatles,0,88,2.322433333333333,0.564,0.827,0.0904,3.73e-06,0.127,0.912,open.spotify.com/track/0Gm34HBxrXlaAf1jdJMjx2
Eight Days A Week - Remastered 2015,The Beatles,0,88,2.722,0.636,0.677,0.265,0.0,0.215,0.837,open.spotify.com/track/3nhJDVdUrm6DnDW4iBfpKz
Help! - Remastered 2015,The Beatles,0,88,2.320666666666667,0.602,0.736,0.149,0.0,0.0776,0.819,open.spotify.com/track/1dfuJYDSIc41cw5RPsaCF1
Yesterday - Remastered 2015,The Beatles,0,88,2.0886666666666667,0.401,0.189,0.871,0.0,0.0968,0.357,open.spotify.com/track/63uskN0xLezVg4281wzeQn
Day Tripper - Remastered 2015,The Beatles,0,88,2.816666666666667,0.665,0.782,0.12,4.19e-06,0.125,0.731,open.spotify.com/track/0vXGSlE4ft3n5JHZMHHSIj
We Can Work It Out - Remastered 2015,The Beatles,0,88,2.26155,0.378,0.677,0.0635,0.0,0.183,0.648,open.spotify.com/track/0Lckblu9CJUXOeMV0XY3b9
Eleanor Rigby - Remastered 2015,The Beatles,0,88,2.097766666666667,0.605,0.314,0.916,0.0,0.359,0.836,open.spotify.com/track/0TRkjwb4uY3CHb5zhr9bBd
Penny Lane - Remastered 2015,The Beatles,0,88,3.0086666666666666,0.679,0.592,0.0964,0.0138,0.16,0.55,open.spotify.com/track/5Kw6fC8wyRgMYfBDtEklYM
All You Need Is Love - Remastered 2015,The Beatles,0,88,3.796,0.397,0.625,0.437,5.47e-06,0.263,0.676,open.spotify.com/track/56rXurvdpjoSIVggfd5ANS
"Hello, Goodbye - Remastered 2015",The Beatles,0,88,3.4631,0.498,0.806,0.402,5.74e-06,0.525,0.664,open.spotify.com/track/0wFW5NQJdNDJPcZyfYSExx
Lady Madonna - Remastered 2015,The Beatles,0,88,2.2804333333333333,0.65,0.777,0.141,0.343,0.215,0.574,open.spotify.com/track/3yf4uaeB2ibXSIPbfUYC2k
Hey Jude - Remastered 2015,The Beatles,0,88,7.094216666666667,0.386,0.607,0.0112,1.38e-05,0.088,0.532,open.spotify.com/track/3H7sv3Krffn15BufUuXzf3
Get Back - Remastered 2015,The Beatles,0,88,3.1962166666666665,0.703,0.636,0.186,0.0256,0.0959,0.218,open.spotify.com/track/4ajbplh2IXiJkXjQiq5aqq
Something - Remastered 2015,The Beatles,0,88,3.02355,0.449,0.375,0.302,2.41e-06,0.144,0.466,open.spotify.com/track/6Y6UBWhifUnkJIO2mdy0S3
